,,,,,,,,,,
,Pressure vessel design,,Piston Lever,,Corrugated Bulkhead,,I-beam vertical deflection minimization,,Gear Train,
iteration,FOX Value,FOX_Levy Value,FOX Value,FOX Levy Value,FOX Value,FOX Levy Value,FOX Value,FOX Levy Value,FOX Value,FOX Levy Value
1,12641.3679,6150.6786,10.5023,6.9169,0.015094,0.013414,1.12E-08,3.82E-09,2.16E-10,1.47E-11
2,12877.5698,6100.6678,7.6367,8.3429,0.085443,0.013454,8.28E-07,4.50E-09,2.71E-08,1.05E-12
3,15145.4906,6070.75,10.0936,6.9185,0.021192,0.013504,0.0017792,1.36E-09,2.09E-10,2.01E-11
4,6748.5045,7312.1903,9.1846,6.8814,0.01369,0.013259,0.0010114,2.36E-09,1.64E-10,1.59E-11
5,9047.6277,6142.2232,7.1097,7.401,0.017802,0.013077,6.19E-09,3.82E-09,6.45E-10,2.62E-11
6,6771.0094,6156.3137,8.2783,7.0067,0.013574,0.013316,2.02E-06,8.89E-10,1.52E-08,4.56E-11
7,15348.982,6124.2345,7.3624,7.2062,0.023668,0.013083,1.83E-08,2.36E-09,3.19E-10,5.39E-11
8,8558.245,6115.9069,7.5956,7.2485,0.018008,0.013208,3.01E-07,2.36E-09,1.60E-09,2.03E-11
9,26694.8222,6416.6655,8.1276,7.7443,0.014242,0.013094,1.54E-07,1.36E-09,1.62E-10,2.16E-11
10,10844.3545,6320.9083,8.8185,6.9639,0.013533,0.013229,0.00064606,2.36E-09,5.29E-10,2.41E-11
11,24925.6843,6093.8723,8.3927,7.7596,0.030265,0.013462,1.16E-07,1.12E-08,2.74E-10,3.25E-11
12,6636.3632,6109.6551,6.8607,7.0691,0.016603,0.01325,0.0029912,9.94E-11,1.13E-09,1.15E-11
13,6317.2107,6437.2037,7.5963,7.1403,0.021594,0.013144,0.0044801,1.36E-09,2.53E-09,4.66E-11
14,18274.911,7051.9502,8.5517,7.1264,0.021374,0.013283,1.16E-07,1.36E-09,2.74E-10,2.53E-11
15,13993.6494,6639.786,8.5316,8.415,0.0229,0.013214,0.0060585,8.89E-10,4.42E-09,4.28E-11
16,9606.5879,6068.3024,8.4369,7.1364,0.013528,0.013191,8.92E-08,3.07E-10,5.02E-10,5.63E-11
17,10422.2685,6321.8728,7.1316,7.3226,0.16858,0.013449,0.0016894,1.36E-09,1.68E-09,2.78E-11
18,17629.6065,6420.1905,8.6802,6.8988,0.014177,0.013116,5.86E-07,2.36E-09,3.52E-08,4.31E-11
19,19650.3441,6095.5885,8.2371,7.7902,0.091301,0.01308,4.83E-05,8.89E-10,1.03E-07,1.32E-11
20,30657.1377,6094.8735,8.5536,7.2302,0.033586,0.013571,1.38E-06,2.36E-09,1.22E-08,1.11E-11
21,7167.2236,6317.0347,8.3644,7.9828,0.016429,0.013302,1.38E-06,1.17E-10,1.15E-07,5.85E-12
22,10865.5452,6124.6352,9.149,8.1008,0.01327,0.013281,4.67E-05,1.36E-09,2.41E-08,2.68E-11
23,6238.6726,7309.122,10.0237,7.5441,0.013377,0.013417,2.86E-08,1.17E-10,5.18E-09,3.92E-11
